ledger_id,invoice_id,utr,amount,currency,invoice_date,merchant,fee_percentage,gateway_fee,gst_amount,tds_amount,settlement_date,type
LEDGER_REC_0053,INV-2022,UTR820151617123,2412.00,INR,2026-08-07,UBER TRIP PAYMENT,1.75,42.21,7.60,24.12,2026-08-09,CREDIT
LEDGER_REC_0054,INV-2023,UTR472494841003,2590.00,INR,2026-08-08,AMAZON PAY INDIA,1.75,45.32,8.16,25.90,2026-08-09,CREDIT
LEDGER_REC_0055,INV-2024,UTR689227460591,8150.00,INR,2026-08-08,FLIPKART PAYMENTS,1.75,142.62,25.67,81.50,2026-08-10,CREDIT
LEDGER_REC_0056,INV-3000,UTR372569912085,2703.00,INR,2026-08-16,Swiggy Bangalore,2.00,54.06,9.73,27.03,2026-08-17,CREDIT
LEDGER_REC_0057,INV-3001,,1817.00,INR,2026-08-17,Zomato Limited,2.00,36.34,6.54,18.17,2026-08-18,CREDIT
LEDGER_REC_0058,INV-3002,UTR813181846360,5708.00,INR,2026-08-14,Uber Systems India,2.00,114.16,20.55,57.08,2026-08-15,CREDIT
LEDGER_REC_0059,INV-3003,,5628.00,INR,2026-08-14,Amazon Seller Services,2.00,112.56,20.26,56.28,2026-08-15,CREDIT
LEDGER_REC_0060,INV-3004,UTR547390899554,1964.00,INR,2026-08-15,Flipkart Internet Pvt,2.00,39.28,7.07,19.64,2026-08-16,CREDIT
LEDGER_REC_0061,INV-3005,,5178.00,INR,2026-08-17,Razorpay Merchant,2.00,103.56,18.64,51.78,2026-08-18,CREDIT
LEDGER_REC_0062,INV-3006,UTR168300472052,2951.00,INR,2026-08-17,Bharti Airtel Ltd,2.00,59.02,10.62,29.51,2026-08-18,CREDIT
LEDGER_REC_0063,INV-3007,,2548.00,INR,2026-08-17,Jio Infocomm Ltd,2.00,50.96,9.17,25.48,2026-08-18,CREDIT
LEDGER_REC_0064,INV-3008,UTR962361016774,1217.00,INR,2026-08-17,Netflix Entertainment,2.00,24.34,4.38,12.17,2026-08-18,CREDIT
LEDGER_REC_0065,INV-3009,,4927.00,INR,2026-08-16,Spotify India Pvt,2.00,98.54,17.74,49.27,2026-08-17,CREDIT
LEDGER_REC_0066,INV-3010,UTR907270532291,4665.00,INR,2026-08-19,Swiggy Bangalore,2.00,93.30,16.79,46.65,2026-08-20,CREDIT
LEDGER_REC_0067,INV-3011,,5752.00,INR,2026-08-19,Zomato Limited,2.00,115.04,20.71,57.52,2026-08-20,CREDIT
LEDGER_REC_0068,INV-3012,UTR306823277527,7085.00,INR,2026-08-17,Uber Systems India,2.00,141.70,25.51,70.85,2026-08-18,CREDIT
LEDGER_REC_0069,INV-3013,,3630.00,INR,2026-08-15,Amazon Seller Services,2.00,72.60,13.07,36.30,2026-08-16,CREDIT
LEDGER_REC_0070,INV-3014,UTR695865453957,1679.00,INR,2026-08-18,Flipkart Internet Pvt,2.00,33.58,6.04,16.79,2026-08-19,CREDIT
LEDGER_REC_0071,INV-4000,UTR920600564299,3584.00,INR,2026-08-20,Swiggy,2.00,71.68,12.90,35.84,2026-08-21,CREDIT
LEDGER_REC_0072,INV-4001,UTR626495033786,5169.00,INR,2026-08-20,Zomato,2.00,103.38,18.61,51.69,2026-08-21,CREDIT
LEDGER_REC_0073,INV-4002,UTR662472262434,1706.00,INR,2026-08-20,Uber India,2.00,34.12,6.14,17.06,2026-08-21,CREDIT
LEDGER_REC_0074,INV-4003,UTR175570100353,6581.00,INR,2026-08-23,Amazon Pay,2.00,131.62,23.69,65.81,2026-08-24,CREDIT
LEDGER_REC_0075,INV-4004,UTR726594012825,3031.00,INR,2026-08-20,Flipkart,2.00,60.62,10.91,30.31,2026-08-21,CREDIT
LEDGER_REC_0076,INV-4005,UTR823355063011,5881.50,INR,2026-08-22,Razorpay Software,2.00,117.63,21.17,58.82,2026-08-23,CREDIT
LEDGER_REC_0077,INV-4006,UTR835316694200,6967.50,INR,2026-08-21,Airtel Payments,2.00,139.35,25.08,69.68,2026-08-22,CREDIT
LEDGER_REC_0078,INV-4007,UTR534932502545,2172.50,INR,2026-08-23,Reliance Jio,2.00,43.45,7.82,21.72,2026-08-24,CREDIT
LEDGER_REC_0079,INV-4008,UTR108901504899,4769.00,INR,2026-08-20,Netflix India,2.00,95.38,17.17,47.69,2026-08-21,CREDIT
LEDGER_REC_0080,INV-4009,UTR334237356171,5244.50,INR,2026-08-21,Spotify Music,2.00,104.89,18.88,52.44,2026-08-22,CREDIT
LEDGER_REC_0081,INV-4010,UTR486260407870,1613.00,INR,2026-08-22,Swiggy,2.00,32.26,5.81,16.13,2026-08-23,CREDIT
LEDGER_REC_0082,INV-4011,UTR273022703378,4689.50,INR,2026-08-20,Zomato,2.00,93.79,16.88,46.90,2026-08-21,CREDIT
LEDGER_REC_0083,INV-5000,UTR428799513174,3717.00,INR,2026-08-14,Swiggy,2.00,74.34,13.38,37.17,2026-08-15,CREDIT
LEDGER_REC_0084,INV-5001,UTR225689924079,1438.00,INR,2026-08-25,Zomato,2.00,28.76,5.18,14.38,2026-08-26,CREDIT
LEDGER_REC_0085,INV-5002,UTR397020387114,2154.00,INR,2026-08-19,Uber India,2.00,43.08,7.75,21.54,2026-08-20,CREDIT
LEDGER_REC_0086,INV-5003,UTR476744275623,1833.00,INR,2026-08-21,Amazon Pay,2.00,36.66,6.60,18.33,2026-08-22,CREDIT
LEDGER_REC_0087,INV-5004,UTR639041627377,2028.00,INR,2026-08-13,Flipkart,2.00,40.56,7.30,20.28,2026-08-14,CREDIT
LEDGER_REC_0088,INV-5005,UTR566580698915,2133.00,INR,2026-08-12,Razorpay Software,2.00,42.66,7.68,21.33,2026-08-13,CREDIT
LEDGER_REC_0089,INV-5006,UTR947541171734,1535.00,INR,2026-08-21,Airtel Payments,2.00,30.70,5.53,15.35,2026-08-22,CREDIT
LEDGER_REC_0090,INV-5007,UTR912442808255,2809.00,INR,2026-08-22,Reliance Jio,2.00,56.18,10.11,28.09,2026-08-23,CREDIT
LEDGER_REC_0091,INV-5008,UTR110999011248,1458.00,INR,2026-08-14,Netflix India,2.00,29.16,5.25,14.58,2026-08-15,CREDIT
LEDGER_REC_0092,INV-5009,UTR140997998139,2512.00,INR,2026-08-24,Spotify Music,2.00,50.24,9.04,25.12,2026-08-25,CREDIT
LEDGER_REC_0093,INV-6000,UTR500755918055,1406.00,INR,2026-08-27,Swiggy,2.00,28.12,5.06,14.06,2026-08-28,CREDIT
LEDGER_REC_0094,INV-6001,UTR831216162375,963.00,INR,2026-08-26,Zomato,2.00,19.26,3.47,9.63,2026-08-27,CREDIT
LEDGER_REC_0095,INV-6002,UTR923004474410,1221.00,INR,2026-08-26,Uber India,2.00,24.42,4.40,12.21,2026-08-27,CREDIT
LEDGER_REC_0096,INV-6003,UTR980366101353,1433.00,INR,2026-08-25,Amazon Pay,2.00,28.66,5.16,14.33,2026-08-26,CREDIT
LEDGER_REC_0097,INV-6004,UTR960420184902,1525.00,INR,2026-08-27,Flipkart,2.00,30.50,5.49,15.25,2026-08-28,CREDIT
LEDGER_REC_0098,INV-6005,UTR872180893759,2486.00,INR,2026-08-25,Razorpay Software,2.00,49.72,8.95,24.86,2026-08-26,CREDIT
LEDGER_REC_0099,INV-6006,UTR619083705463,1242.00,INR,2026-08-27,Airtel Payments,2.00,24.84,4.47,12.42,2026-08-28,CREDIT
LEDGER_REC_0100,INV-6007,UTR345790651066,1711.00,INR,2026-08-25,Reliance Jio,2.00,34.22,6.16,17.11,2026-08-26,CREDIT
LEDGER_REC_0101,INV-7000,,1393.00,INR,2026-08-28,Swiggy,2.00,27.86,5.01,13.93,2026-08-29,CREDIT
LEDGER_REC_0102,INV-7001,,2782.00,INR,2026-08-28,Zomato,2.00,55.64,10.02,27.82,2026-08-29,CREDIT
LEDGER_REC_0103,INV-7002,,4464.00,INR,2026-08-28,Uber India,2.00,89.28,16.07,44.64,2026-08-29,CREDIT
LEDGER_REC_0104,INV-8000,UTR176726811657,5678.00,INR,2026-08-10,Swiggy Unmatched Vendor,2.00,113.56,20.44,56.78,2026-08-12,DEBIT
LEDGER_REC_0105,INV-8001,UTR661100891573,4873.00,INR,2026-08-13,Zomato Unmatched Vendor,2.00,97.46,17.54,48.73,2026-08-15,CREDIT
LEDGER_REC_0106,INV-8002,UTR463080281895,6848.00,INR,2026-08-23,Uber India Unmatched Vendor,2.00,136.96,24.65,68.48,2026-08-25,CREDIT
LEDGER_REC_0107,INV-8003,UTR294395439052,752.00,INR,2026-08-05,Amazon Pay Unmatched Vendor,2.00,15.04,2.71,7.52,2026-08-07,DEBIT
LEDGER_REC_0108,INV-8004,UTR753300614396,4649.00,INR,2026-08-03,Flipkart Unmatched Vendor,2.00,92.98,16.74,46.49,2026-08-05,CREDIT
LEDGER_REC_0109,INV-8005,UTR966417503705,7419.00,INR,2026-08-13,Razorpay Software Unmatched Vendor,2.00,148.38,26.71,74.19,2026-08-15,CREDIT
LEDGER_REC_0110,INV-8006,UTR226750596909,5439.00,INR,2026-08-15,Airtel Payments Unmatched Vendor,2.00,108.78,19.58,54.39,2026-08-17,DEBIT
LEDGER_REC_0111,INV-8007,UTR379989256365,6611.00,INR,2026-08-20,Reliance Jio Unmatched Vendor,2.00,132.22,23.80,66.11,2026-08-22,CREDIT
LEDGER_REC_0112,INV-8008,UTR101872852789,1027.00,INR,2026-08-24,Netflix India Unmatched Vendor,2.00,20.54,3.70,10.27,2026-08-26,CREDIT
LEDGER_REC_0113,INV-8009,UTR853931910508,8818.00,INR,2026-08-27,Spotify Music Unmatched Vendor,2.00,176.36,31.74,88.18,2026-08-29,DEBIT
LEDGER_REC_0114,INV-8010,UTR174866852259,3528.00,INR,2026-08-13,Swiggy Unmatched Vendor,2.00,70.56,12.70,35.28,2026-08-15,CREDIT
LEDGER_REC_0115,INV-8011,UTR827197730438,5709.00,INR,2026-08-21,Zomato Unmatched Vendor,2.00,114.18,20.55,57.09,2026-08-23,CREDIT
LEDGER_REC_0116,INV-8012,UTR430283186227,2341.00,INR,2026-08-25,Uber India Unmatched Vendor,2.00,46.82,8.43,23.41,2026-08-27,DEBIT
LEDGER_REC_0117,INV-8013,UTR549540881993,8608.00,INR,2026-08-11,Amazon Pay Unmatched Vendor,2.00,172.16,30.99,86.08,2026-08-13,CREDIT
LEDGER_REC_0118,INV-8014,UTR425117034534,5644.00,INR,2026-08-14,Flipkart Unmatched Vendor,2.00,112.88,20.32,56.44,2026-08-16,CREDIT
