bank_transaction_id,expected_ledger_id,expected_status,scenario
BANK_TX_0024,LEDGER_REC_0024,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0025,LEDGER_REC_0025,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0026,LEDGER_REC_0026,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0027,LEDGER_REC_0027,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0028,LEDGER_REC_0028,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0029,LEDGER_REC_0029,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0030,LEDGER_REC_0030,MATCHED,EXACT_SAFE_MATCH
BANK_TX_0031,LEDGER_REC_0031,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0032,LEDGER_REC_0032,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0033,LEDGER_REC_0033,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0034,LEDGER_REC_0034,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0035,LEDGER_REC_0035,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0036,LEDGER_REC_0036,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0037,LEDGER_REC_0037,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0038,LEDGER_REC_0038,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0039,LEDGER_REC_0039,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0040,LEDGER_REC_0040,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0041,LEDGER_REC_0041,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0042,LEDGER_REC_0042,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0043,LEDGER_REC_0043,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0044,LEDGER_REC_0044,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0045,LEDGER_REC_0045,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0046,LEDGER_REC_0046,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0047,LEDGER_REC_0047,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0048,LEDGER_REC_0048,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0049,LEDGER_REC_0049,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0050,LEDGER_REC_0050,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0051,LEDGER_REC_0051,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0052,LEDGER_REC_0052,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0053,LEDGER_REC_0053,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0054,LEDGER_REC_0054,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0055,LEDGER_REC_0055,MATCHED,FUZZY_MERCHANT_MATCH
BANK_TX_0056,LEDGER_REC_0056,MATCHED,MISSING_UTR_SAFE_MATCH
BANK_TX_0057,LEDGER_REC_0057,MATCHED,MISSING_UTR_SAFE_MATCH
BANK_TX_0058,LEDGER_REC_0058,MATCHED,MISSING_UTR_SAFE_MATCH
BANK_TX_0059,LEDGER_REC_0059,MATCHED,MISSING_UTR_SAFE_MATCH
BANK_TX_0060,LEDGER_REC_0060,MATCHED,MISSING_UTR_SAFE_MATCH
BANK_TX_0061,LEDGER_REC_0061,MATCHED,MISSING_UTR_SAFE_MATCH
BANK_TX_0062,LEDGER_REC_0062,MATCHED,MISSING_UTR_SAFE_MATCH
BANK_TX_0063,LEDGER_REC_0063,MATCHED,MISSING_UTR_SAFE_MATCH
BANK_TX_0064,LEDGER_REC_0064,MATCHED,MISSING_UTR_SAFE_MATCH
BANK_TX_0065,LEDGER_REC_0065,MATCHED,MISSING_UTR_SAFE_MATCH
BANK_TX_0066,LEDGER_REC_0066,MATCHED,MISSING_UTR_SAFE_MATCH
BANK_TX_0067,LEDGER_REC_0067,MATCHED,MISSING_UTR_SAFE_MATCH
BANK_TX_0068,LEDGER_REC_0068,MATCHED,MISSING_UTR_SAFE_MATCH
BANK_TX_0069,LEDGER_REC_0069,MATCHED,MISSING_UTR_SAFE_MATCH
BANK_TX_0070,LEDGER_REC_0070,MATCHED,MISSING_UTR_SAFE_MATCH
BANK_TX_0071,LEDGER_REC_0071,EXCEPTION,AMOUNT_MISMATCH_EXCEPTION
BANK_TX_0072,LEDGER_REC_0072,EXCEPTION,AMOUNT_MISMATCH_EXCEPTION
BANK_TX_0073,LEDGER_REC_0073,EXCEPTION,AMOUNT_MISMATCH_EXCEPTION
BANK_TX_0074,LEDGER_REC_0074,EXCEPTION,AMOUNT_MISMATCH_EXCEPTION
BANK_TX_0075,LEDGER_REC_0075,EXCEPTION,AMOUNT_MISMATCH_EXCEPTION
BANK_TX_0076,LEDGER_REC_0076,EXCEPTION,AMOUNT_MISMATCH_EXCEPTION
BANK_TX_0077,LEDGER_REC_0077,EXCEPTION,AMOUNT_MISMATCH_EXCEPTION
BANK_TX_0078,LEDGER_REC_0078,EXCEPTION,AMOUNT_MISMATCH_EXCEPTION
BANK_TX_0079,LEDGER_REC_0079,EXCEPTION,AMOUNT_MISMATCH_EXCEPTION
BANK_TX_0080,LEDGER_REC_0080,EXCEPTION,AMOUNT_MISMATCH_EXCEPTION
BANK_TX_0081,LEDGER_REC_0081,EXCEPTION,AMOUNT_MISMATCH_EXCEPTION
BANK_TX_0082,LEDGER_REC_0082,EXCEPTION,AMOUNT_MISMATCH_EXCEPTION
BANK_TX_0083,LEDGER_REC_0083,EXCEPTION,DATE_MISMATCH_EXCEPTION
BANK_TX_0084,LEDGER_REC_0084,EXCEPTION,DATE_MISMATCH_EXCEPTION
BANK_TX_0085,LEDGER_REC_0085,EXCEPTION,DATE_MISMATCH_EXCEPTION
BANK_TX_0086,LEDGER_REC_0086,EXCEPTION,DATE_MISMATCH_EXCEPTION
BANK_TX_0087,LEDGER_REC_0087,EXCEPTION,DATE_MISMATCH_EXCEPTION
BANK_TX_0088,LEDGER_REC_0088,EXCEPTION,DATE_MISMATCH_EXCEPTION
BANK_TX_0089,LEDGER_REC_0089,EXCEPTION,DATE_MISMATCH_EXCEPTION
BANK_TX_0090,LEDGER_REC_0090,EXCEPTION,DATE_MISMATCH_EXCEPTION
BANK_TX_0091,LEDGER_REC_0091,EXCEPTION,DATE_MISMATCH_EXCEPTION
BANK_TX_0092,LEDGER_REC_0092,EXCEPTION,DATE_MISMATCH_EXCEPTION
BANK_TX_0093,LEDGER_REC_0093,EXCEPTION,CONFLICTING_UTR_EXCEPTION
BANK_TX_0094,LEDGER_REC_0094,EXCEPTION,CONFLICTING_UTR_EXCEPTION
BANK_TX_0095,LEDGER_REC_0095,EXCEPTION,CONFLICTING_UTR_EXCEPTION
BANK_TX_0096,LEDGER_REC_0096,EXCEPTION,CONFLICTING_UTR_EXCEPTION
BANK_TX_0097,LEDGER_REC_0097,EXCEPTION,CONFLICTING_UTR_EXCEPTION
BANK_TX_0098,LEDGER_REC_0098,EXCEPTION,CONFLICTING_UTR_EXCEPTION
BANK_TX_0099,LEDGER_REC_0099,EXCEPTION,CONFLICTING_UTR_EXCEPTION
BANK_TX_0100,LEDGER_REC_0100,EXCEPTION,CONFLICTING_UTR_EXCEPTION
BANK_TX_0101,LEDGER_REC_0101,MATCHED,AMBIGUOUS_COMPETITION_WINNER
BANK_TX_0102,,EXCEPTION,AMBIGUOUS_COMPETITION_LOSER
BANK_TX_0103,LEDGER_REC_0102,MATCHED,AMBIGUOUS_COMPETITION_WINNER
BANK_TX_0104,,EXCEPTION,AMBIGUOUS_COMPETITION_LOSER
BANK_TX_0105,LEDGER_REC_0103,MATCHED,AMBIGUOUS_COMPETITION_WINNER
BANK_TX_0106,,EXCEPTION,AMBIGUOUS_COMPETITION_LOSER
