transaction_id,utr,amount,currency,transaction_date,merchant,fee_percentage,gateway_fee,gst_amount,tds_amount,settlement_date,type
BANK_TX_0079,UTR108901504899,4754.00,INR,2026-08-20,Netflix India,2.00,95.08,17.11,47.54,2026-08-21,CREDIT
BANK_TX_0080,UTR334237356171,5144.00,INR,2026-08-21,Spotify Music,2.00,102.88,18.52,51.44,2026-08-22,CREDIT
BANK_TX_0081,UTR486260407870,1563.00,INR,2026-08-22,Swiggy,2.00,31.26,5.63,15.63,2026-08-23,CREDIT
BANK_TX_0082,UTR273022703378,4589.00,INR,2026-08-20,Zomato,2.00,91.78,16.52,45.89,2026-08-21,CREDIT
BANK_TX_0083,UTR428799513174,3717.00,INR,2026-08-06,Swiggy,2.00,74.34,13.38,37.17,2026-08-07,CREDIT
BANK_TX_0084,UTR225689924079,1438.00,INR,2026-08-11,Zomato,2.00,28.76,5.18,14.38,2026-08-12,CREDIT
BANK_TX_0085,UTR397020387114,2154.00,INR,2026-08-10,Uber India,2.00,43.08,7.75,21.54,2026-08-11,CREDIT
BANK_TX_0086,UTR476744275623,1833.00,INR,2026-08-11,Amazon Pay,2.00,36.66,6.60,18.33,2026-08-12,CREDIT
BANK_TX_0087,UTR639041627377,2028.00,INR,2026-08-06,Flipkart,2.00,40.56,7.30,20.28,2026-08-07,CREDIT
BANK_TX_0088,UTR566580698915,2133.00,INR,2026-08-06,Razorpay Software,2.00,42.66,7.68,21.33,2026-08-07,CREDIT
BANK_TX_0089,UTR947541171734,1535.00,INR,2026-08-11,Airtel Payments,2.00,30.70,5.53,15.35,2026-08-12,CREDIT
BANK_TX_0090,UTR912442808255,2809.00,INR,2026-08-10,Reliance Jio,2.00,56.18,10.11,28.09,2026-08-11,CREDIT
BANK_TX_0091,UTR110999011248,1458.00,INR,2026-08-06,Netflix India,2.00,29.16,5.25,14.58,2026-08-07,CREDIT
BANK_TX_0092,UTR140997998139,2512.00,INR,2026-08-10,Spotify Music,2.00,50.24,9.04,25.12,2026-08-11,CREDIT
BANK_TX_0093,UTR143497047298,1406.00,INR,2026-08-27,Swiggy,2.00,28.12,5.06,14.06,2026-08-28,CREDIT
BANK_TX_0094,UTR848226581356,963.00,INR,2026-08-26,Zomato,2.00,19.26,3.47,9.63,2026-08-27,CREDIT
BANK_TX_0095,UTR717530897084,1221.00,INR,2026-08-26,Uber India,2.00,24.42,4.40,12.21,2026-08-27,CREDIT
BANK_TX_0096,UTR279807112340,1433.00,INR,2026-08-25,Amazon Pay,2.00,28.66,5.16,14.33,2026-08-26,CREDIT
BANK_TX_0097,UTR293379984954,1525.00,INR,2026-08-27,Flipkart,2.00,30.50,5.49,15.25,2026-08-28,CREDIT
BANK_TX_0098,UTR272944613643,2486.00,INR,2026-08-25,Razorpay Software,2.00,49.72,8.95,24.86,2026-08-26,CREDIT
BANK_TX_0099,UTR142400633488,1242.00,INR,2026-08-27,Airtel Payments,2.00,24.84,4.47,12.42,2026-08-28,CREDIT
BANK_TX_0100,UTR484229076692,1711.00,INR,2026-08-25,Reliance Jio,2.00,34.22,6.16,17.11,2026-08-26,CREDIT
BANK_TX_0101,,1393.00,INR,2026-08-28,Swiggy,2.00,27.86,5.01,13.93,2026-08-29,CREDIT
BANK_TX_0102,,1393.00,INR,2026-08-28,Swiggy,2.00,27.86,5.01,13.93,2026-08-29,CREDIT
BANK_TX_0103,,2782.00,INR,2026-08-28,Zomato,2.00,55.64,10.02,27.82,2026-08-29,CREDIT
BANK_TX_0104,,2782.00,INR,2026-08-28,Zomato,2.00,55.64,10.02,27.82,2026-08-29,CREDIT
BANK_TX_0105,,4464.00,INR,2026-08-28,Uber India,2.00,89.28,16.07,44.64,2026-08-29,CREDIT
BANK_TX_0106,,4464.00,INR,2026-08-28,Uber India,2.00,89.28,16.07,44.64,2026-08-29,CREDIT
